"mention_id","event_id","account_id","start_position","length","task_id","team_id","dtype","workspace_id"
"78440fcb-9dcc-4ce5-9a9b-edcb11f79c5f","4fe41071-5199-41f4-b494-6754a57bc65a","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
"d6dd1a1d-c001-417a-a1f6-0acd718362dd","7bafcdcf-7d74-4f54-8b45-2a9da8dbd86f","null","0","5","3f7546fa-6e95-4eb0-b195-1792acf81b0d","null","TaskMention","null"
"781ae88f-1c64-465c-87f6-580fc923a4e8","ed5e13ff-72c3-47c0-b93e-e2022ef88b8b","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"b7dec9ac-4cbf-46c0-a574-ce60615ff75d","aebfa22d-998d-49ab-ad6c-63053cfcc04b","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"e6c2def3-0d7a-4112-bea3-ab0ce1fc9f2e","aa1b5ae9-9f2c-4775-a480-3725e9f9c01f","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","0","12","null","null","AccountMention","null"
"08eba865-6fde-4821-9ab2-ad7c812e4272","705e3c87-fdb6-428a-8676-8e295ff02300","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
"cac71d15-56b0-49b8-b3ce-bc84fd3a8b46","16c3b16f-186d-4f5c-bbff-719fa68aa7a7","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"2577f431-a15d-404b-b06d-118e4f9bee55","1f207c20-1565-42e8-810f-0226784b2bc3","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"ac3844c5-b432-4754-bb43-ba7381b2a359","4d212423-aa66-41dd-87c7-acf264818c32","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"a7c20342-4152-4ffc-979d-ed2d3e77467c","cf90992d-954e-460e-9122-07a39c4b277c","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"806f6494-9f20-41cb-9da8-5c6773e126b1","97499248-4924-4514-883a-d47e2c282c9f","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"a309349e-c42e-4c79-bfea-28a35bcc75b9","0764f6ef-c625-4e38-a59c-15c97a376ec0","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"ca2bf2ef-5f34-40fd-a9e3-add8c655bc12","70c46025-20ab-4c11-bdcd-2c41b99bf34b","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"9961034c-de65-40d3-970b-be2fd51a2379","651d80cb-b546-4e1b-9fd0-5e62b2afac97","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"ce751500-03c0-45c3-bdf0-496524ed14dd","095d02e4-6300-46bd-950f-4dff26961157","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
"823dbffa-d0eb-46fb-a2dd-11b3423d8f28","0aae3354-5af4-40f6-882d-d1349ac8f4eb","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","0","12","null","null","AccountMention","null"
"0fe4a6d3-6e45-4ba3-8550-158662b84ca9","f5af127b-a43e-4302-bf26-c6682e8a4824","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","0","12","null","null","AccountMention","null"
"1c1088be-cbc2-4b26-bd06-03064822e05b","32e3c85e-91ca-4ab1-9aad-16975605d7e5","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"aa356de4-1d2e-4856-bd31-f4afedfede96","26ac3812-40f2-4bb8-ac67-1ce126e843ba","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"ac7cf7f2-3e74-41b7-9b0a-31d809f80e1b","f865372c-9248-4b1e-bc54-331509013beb","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"0f27dc89-7fb9-434b-bf53-ae1ea73af8c5","2b356efd-cae8-4614-b36f-b3c2fc24e68e","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"3c59da05-74f1-4b87-b0f4-0e236bcca9bc","f67ea444-f715-4a57-8a44-6dd65e39379c","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"e360f6f2-cabf-414f-b392-12f12d5b2362","376648ff-6ba8-4026-81c3-556427bf97ad","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"4520bddf-361c-445b-997d-aa1bd960835c","18ba6878-83cd-494c-83d6-e632d940b013","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","0","16","null","null","AccountMention","null"
"79e532f5-88fb-455a-9756-3b6e5ba009f4","abfeb1a8-f953-4210-88c8-1a3c4771f8fe","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
"893aa5cf-ecfd-4424-8990-47463b52fa2e","f134a9bd-7447-4b37-9523-cc98c2fd0ca1","f174699c-1b01-493f-90b1-52082766fbf7","0","16","null","null","AccountMention","null"
