"id","created","modified","creator_id","account_id","team_id","admin"
"ddced13a-56ee-44bb-a9c4-bf5ec034d449","2022-03-17 12:34:30.743824","2022-03-17 12:34:30.743824","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","27264d57-eab1-4c1a-9b48-4ba05db08af2","false"
"70abc3f8-1be8-4c09-8d30-8f3fe0b05ae2","2022-03-17 12:34:48.636638","2022-03-17 12:34:48.636638","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","34fbb5ed-358d-4583-bc14-1c2daaa82436","false"
"304c49d0-f093-4d91-9cdc-7f019519357d","2022-03-17 12:35:01.306842","2022-03-17 12:35:01.306842","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","d9ed9dec-29db-4931-8f2e-875e62d9fc38","false"
"7e884ad1-a052-4662-85dd-eabab8fdc03c","2022-03-17 18:34:38.195839","2022-03-17 18:34:38.195839","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","27264d57-eab1-4c1a-9b48-4ba05db08af2","false"
"6c9e42bc-af77-4a56-8ac1-f6c855baf7b4","2022-03-17 18:34:53.207396","2022-03-17 18:34:53.207396","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","d9ed9dec-29db-4931-8f2e-875e62d9fc38","false"
"5953fcbf-11d6-4315-9513-94070ad643a8","2022-03-17 18:41:27.525895","2022-03-17 18:41:27.525895","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","5554fd78-076b-4965-b8dd-73ad778ae04d","27264d57-eab1-4c1a-9b48-4ba05db08af2","false"
"7b84975b-d2cd-4689-b583-48b5e809bb87","2022-03-17 18:41:27.525587","2022-03-17 18:41:27.525587","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","df37b92c-ebf7-4cb0-bfbc-7f195eec0d2d","27264d57-eab1-4c1a-9b48-4ba05db08af2","false"
"b8a6c419-2223-4f95-898b-d3452f739f2f","2022-02-26 00:23:05.69724","2022-03-17 18:41:33.393615","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","27264d57-eab1-4c1a-9b48-4ba05db08af2","true"
"c438010b-e2b9-47f8-97b2-af5b8cde5fe8","2022-02-26 00:23:25.503511","2022-03-17 18:41:33.400369","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","f174699c-1b01-493f-90b1-52082766fbf7","27264d57-eab1-4c1a-9b48-4ba05db08af2","true"
"25e7d5a1-40cc-4e41-9a40-f2e92a1aacd2","2022-03-17 18:41:42.53916","2022-03-17 18:41:42.53916","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","5554fd78-076b-4965-b8dd-73ad778ae04d","34fbb5ed-358d-4583-bc14-1c2daaa82436","false"
